/home/yuvrajsingh/anaconda3/envs/unsloth_env/lib/python3.11/site-packages/torch/utils/_device.py:106: UserWarning: Using a target size (torch.Size([16])) that is different to the input size (torch.Size([16, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return func(*args, **kwargs)
Epoch:  0 | Step:  99 | Val Loss:  7952.92236328125
Epoch:  0 | Step:  100 | Val Loss:  7821.9833984375
Epoch:  0 | Step:  101 | Val Loss:  7373.0419921875
Epoch:  0 | Step:  102 | Val Loss:  7919.75732421875
Epoch:  0 | Step:  103 | Val Loss:  7411.408203125
Epoch:  0 | Step:  104 | Val Loss:  7408.0068359375
Epoch:  0 | Step:  105 | Val Loss:  7960.22265625
Epoch:  0 | Step:  106 | Val Loss:  7560.6259765625
Epoch:  0 | Step:  107 | Val Loss:  8081.40869140625
Epoch:  0 | Step:  108 | Val Loss:  8093.298828125
Epoch:  0 | Step:  109 | Val Loss:  7840.23828125
Epoch:  0 | Step:  110 | Val Loss:  7682.62255859375
Epoch:  0 | Step:  111 | Val Loss:  7641.02392578125
Epoch:  0 | Step:  112 | Val Loss:  7688.0322265625
Epoch:  0 | Step:  113 | Val Loss:  7512.54150390625
Epoch:  0 | Step:  114 | Val Loss:  7951.3857421875
Epoch:  0 | Step:  115 | Val Loss:  7582.27734375
Epoch:  0 | Step:  116 | Val Loss:  7967.70458984375
Epoch:  0 | Step:  117 | Val Loss:  7715.75146484375
Epoch:  0 | Step:  118 | Val Loss:  7788.82421875
Epoch:  0 | Step:  119 | Val Loss:  7759.60791015625
Epoch:  0 | Step:  120 | Val Loss:  7848.0517578125
Epoch:  0 | Step:  121 | Val Loss:  7877.7919921875
Epoch:  0 | Step:  122 | Val Loss:  7919.09814453125
Epoch:  0 | Step:  123 | Val Loss:  7507.7587890625
Epoch:  0 | Step:  124 | Val Loss:  8279.9033203125
Epoch:  0 | Step:  125 | Val Loss:  7675.88427734375
Epoch:  0 | Train Loss:  tensor(2095.0564, device='cuda:0') | Val Loss:  tensor(7727.9546, device='cuda:0')
/home/yuvrajsingh/anaconda3/envs/unsloth_env/lib/python3.11/site-packages/torch/utils/_device.py:106: UserWarning: Using a target size (torch.Size([16])) that is different to the input size (torch.Size([16, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return func(*args, **kwargs)
Epoch:  1 | Step:  500 | Train Loss:  2182.007568359375
Epoch:  1 | Step:  1 | Val Loss:  7435.58447265625
Epoch:  1 | Step:  2 | Val Loss:  7132.091796875
Epoch:  1 | Step:  3 | Val Loss:  7566.47021484375
Epoch:  1 | Step:  4 | Val Loss:  7590.80859375
Epoch:  1 | Step:  5 | Val Loss:  7481.666015625
Epoch:  1 | Step:  6 | Val Loss:  7441.20556640625
Epoch:  1 | Step:  7 | Val Loss:  7275.9541015625
Epoch:  1 | Step:  8 | Val Loss:  7604.228515625
Epoch:  1 | Step:  9 | Val Loss:  7639.40478515625
Epoch:  1 | Step:  10 | Val Loss:  7395.70654296875
Epoch:  1 | Step:  11 | Val Loss:  7438.203125
Epoch:  1 | Step:  12 | Val Loss:  7632.52392578125
Epoch:  1 | Step:  13 | Val Loss:  7231.619140625
Epoch:  1 | Step:  14 | Val Loss:  7501.0224609375
Epoch:  1 | Step:  15 | Val Loss:  7755.0966796875
Epoch:  1 | Step:  16 | Val Loss:  7601.31298828125
Epoch:  1 | Step:  17 | Val Loss:  7901.53515625
Epoch:  1 | Step:  18 | Val Loss:  7215.40478515625
Epoch:  1 | Step:  19 | Val Loss:  7593.27587890625
Epoch:  1 | Step:  20 | Val Loss:  7206.458984375
Epoch:  1 | Step:  21 | Val Loss:  7332.1806640625
Epoch:  1 | Step:  22 | Val Loss:  7687.2607421875
Epoch:  1 | Step:  23 | Val Loss:  7498.16943359375
Epoch:  1 | Step:  24 | Val Loss:  7802.0556640625
Epoch:  1 | Step:  25 | Val Loss:  7163.56591796875
Epoch:  1 | Step:  26 | Val Loss:  7553.8154296875
Epoch:  1 | Step:  27 | Val Loss:  6708.66259765625
Epoch:  1 | Step:  28 | Val Loss:  7712.1884765625
Epoch:  1 | Step:  29 | Val Loss:  7613.2900390625
Epoch:  1 | Step:  30 | Val Loss:  7175.95703125
Epoch:  1 | Step:  31 | Val Loss:  7143.60302734375
Epoch:  1 | Step:  32 | Val Loss:  7327.4521484375
Epoch:  1 | Step:  33 | Val Loss:  6722.615234375
Epoch:  1 | Step:  34 | Val Loss:  7192.6650390625
Epoch:  1 | Step:  35 | Val Loss:  7764.2958984375
Epoch:  1 | Step:  36 | Val Loss:  7567.21044921875
Epoch:  1 | Step:  37 | Val Loss:  7309.24609375
Epoch:  1 | Step:  38 | Val Loss:  7575.498046875
Epoch:  1 | Step:  39 | Val Loss:  7665.4111328125
Epoch:  1 | Step:  40 | Val Loss:  7731.2138671875
Epoch:  1 | Step:  41 | Val Loss:  7353.4736328125
Epoch:  1 | Step:  42 | Val Loss:  7519.15771484375
Epoch:  1 | Step:  43 | Val Loss:  7469.18994140625
Epoch:  1 | Step:  44 | Val Loss:  7002.23486328125
Epoch:  1 | Step:  45 | Val Loss:  7277.7998046875
Epoch:  1 | Step:  46 | Val Loss:  7727.56787109375
Epoch:  1 | Step:  47 | Val Loss:  7440.39111328125
Epoch:  1 | Step:  48 | Val Loss:  7369.26806640625
Epoch:  1 | Step:  49 | Val Loss:  7495.8642578125
Epoch:  1 | Step:  50 | Val Loss:  7382.57177734375
Epoch:  1 | Step:  51 | Val Loss:  7657.916015625
Epoch:  1 | Step:  52 | Val Loss:  7405.40625
Epoch:  1 | Step:  53 | Val Loss:  7671.99169921875
Epoch:  1 | Step:  54 | Val Loss:  7190.5859375
Epoch:  1 | Step:  55 | Val Loss:  7334.1015625
Epoch:  1 | Step:  56 | Val Loss:  6943.8759765625
Epoch:  1 | Step:  57 | Val Loss:  7417.50830078125
Epoch:  1 | Step:  58 | Val Loss:  7450.0966796875
Epoch:  1 | Step:  59 | Val Loss:  6930.34765625
Epoch:  1 | Step:  60 | Val Loss:  7129.775390625
